CUSIP,Security Type,Security Term,Auction Date
912796XN4,CMB,119-Day,2022-04-20
912796V48,Bill,52-Week,2022-04-19
912796S42,Bill,13-Week,2022-04-18
912796V63,Bill,26-Week,2022-04-18
912796U98,Bill,4-Week,2022-04-14
912796V97,Bill,8-Week,2022-04-14
912796XM6,CMB,119-Day,2022-04-13
912810TD0,Bond,29-Year 10-Month,2022-04-13
91282CDY4,Note,9-Year 10-Month,2022-04-12
91282CEH0,Note,3-Year,2022-04-11
912796K57,Bill,13-Week,2022-04-11
912796V55,Bill,26-Week,2022-04-11
912796U80,Bill,4-Week,2022-04-07
912796V89,Bill,8-Week,2022-04-07
912796XL8,CMB,119-Day,2022-04-06
912796R68,Bill,13-Week,2022-04-04
912796M89,Bill,26-Week,2022-04-04
912796U72,Bill,4-Week,2022-03-31
912796V30,Bill,8-Week,2022-03-31
912796X46,CMB,119-Day,2022-03-30
91282CEE7,Note,7-Year,2022-03-29
912796R50,Bill,13-Week,2022-03-28
912796U64,Bill,26-Week,2022-03-28
91282CEG2,Note,2-Year,2022-03-28
91282CEF4,Note,5-Year,2022-03-28
91282CDX6,TIPS Note,9-Year 10-Month,2022-03-24
912796U23,Bill,4-Week,2022-03-24
912796V22,Bill,8-Week,2022-03-24
912810TF5,Bond,19-Year 11-Month,2022-03-23
912796X38,CMB,119-Day,2022-03-23
91282CDU2,FRN Note,1-Year 10-Month,2022-03-23
912796U31,Bill,52-Week,2022-03-22
912796R43,Bill,13-Week,2022-03-21
912796U56,Bill,26-Week,2022-03-21
912796T90,Bill,4-Week,2022-03-17
912796U98,Bill,8-Week,2022-03-17
912796X20,CMB,119-Day,2022-03-16
912796J42,Bill,13-Week,2022-03-14
912796U49,Bill,26-Week,2022-03-14
912796T82,Bill,4-Week,2022-03-10
912796U80,Bill,8-Week,2022-03-10
912810TD0,Bond,29-Year 11-Month,2022-03-10
912796W96,CMB,119-Day,2022-03-09
91282CDY4,Note,9-Year 11-Month,2022-03-09
91282CED9,Note,3-Year,2022-03-08
912796R35,Bill,13-Week,2022-03-07
912796M71,Bill,26-Week,2022-03-07
912796T74,Bill,4-Week,2022-03-03
912796U72,Bill,8-Week,2022-03-03
912796W88,CMB,119-Day,2022-03-02
912796Q44,Bill,13-Week,2022-02-28
912796T66,Bill,26-Week,2022-02-28
912796T25,Bill,4-Week,2022-02-24
912796U23,Bill,8-Week,2022-02-24
91282CEB3,Note,7-Year,2022-02-24
912796W39,CMB,119-Day,2022-02-23
91282CEC1,Note,5-Year,2022-02-23
91282CDU2,FRN Note,1-Year 11-Month,2022-02-23
91282CEA5,Note,2-Year,2022-02-22
912796Q36,Bill,13-Week,2022-02-22
912796T58,Bill,26-Week,2022-02-22
912796T33,Bill,52-Week,2022-02-22
912810TE8,TIPS Bond,30-Year,2022-02-17
912796S91,Bill,4-Week,2022-02-17
912796T90,Bill,8-Week,2022-02-17
912810TF5,Bond,20-Year,2022-02-16
912796W21,CMB,119-Day,2022-02-16
912796H44,Bill,13-Week,2022-02-14
912796T41,Bill,26-Week,2022-02-14
912796S83,Bill,4-Week,2022-02-10
912796T82,Bill,8-Week,2022-02-10
912810TD0,Bond,30-Year,2022-02-10
912796V97,CMB,119-Day,2022-02-09
91282CDY4,Note,10-Year,2022-02-09
91282CDZ1,Note,3-Year,2022-02-08
912796Q28,Bill,13-Week,2022-02-07
912796L64,Bill,26-Week,2022-02-07
912796S75,Bill,4-Week,2022-02-03
912796T74,Bill,8-Week,2022-02-03
912796V89,CMB,119-Day,2022-02-02
912796P45,Bill,13-Week,2022-01-31
912796S67,Bill,26-Week,2022-01-31
912796S26,Bill,4-Week,2022-01-27
912796T25,Bill,8-Week,2022-01-27
91282CDW8,Note,7-Year,2022-01-27
912796V30,CMB,119-Day,2022-01-26
91282CDU2,FRN Note,2-Year,2022-01-26
912828Z78,Note,5-Year,2022-01-25
912796S34,Bill,52-Week,2022-01-25
91282CDV0,Note,2-Year,2022-01-24
912796P37,Bill,13-Week,2022-01-24
912796S59,Bill,26-Week,2022-01-24
91282CDX6,TIPS Note,10-Year,2022-01-20
912796R92,Bill,4-Week,2022-01-20
912796S91,Bill,8-Week,2022-01-20
912810TC2,Bond,19-Year 10-Month,2022-01-19
912796V22,CMB,119-Day,2022-01-19
912796G45,Bill,13-Week,2022-01-18
912796S42,Bill,26-Week,2022-01-18
912796R84,Bill,4-Week,2022-01-13
912796S83,Bill,8-Week,2022-01-13
912810TB4,Bond,29-Year 10-Month,2022-01-13
912796U98,CMB,119-Day,2022-01-12
91282CDJ7,Note,9-Year 10-Month,2022-01-12
91282CDS7,Note,3-Year,2022-01-11
912796P29,Bill,13-Week,2022-01-10
912796K57,Bill,26-Week,2022-01-10
912796R76,Bill,4-Week,2022-01-06
912796S75,Bill,8-Week,2022-01-06
912796U80,CMB,119-Day,2022-01-05
912796N47,Bill,13-Week,2022-01-03
912796R68,Bill,26-Week,2022-01-03
912796Q93,Bill,4-Week,2021-12-30
912796S26,Bill,8-Week,2021-12-30
912796U72,CMB,119-Day,2021-12-29
91282CDE8,FRN Note,1-Year 10-Month,2021-12-29
91282CDP3,Note,7-Year,2021-12-29
91282CDQ1,Note,5-Year,2021-12-28
912796R27,Bill,52-Week,2021-12-28
91282CDR9,Note,2-Year,2021-12-27
912796N39,Bill,13-Week,2021-12-27
912796R50,Bill,26-Week,2021-12-27
912796Q85,Bill,4-Week,2021-12-23
912796R92,Bill,8-Week,2021-12-23
91282CDC2,TIPS Note,4-Year 10-Month,2021-12-22
912796U23,CMB,119-Day,2021-12-22
912810TC2,Bond,19-Year 11-Month,2021-12-21
912796F38,Bill,13-Week,2021-12-20
912796R43,Bill,26-Week,2021-12-20
912796M97,CMB,78-Day,2021-12-20
912796K73,CMB,23-Day,2021-12-17
912796Q77,Bill,4-Week,2021-12-16
912796R84,Bill,8-Week,2021-12-16
912796T90,CMB,119-Day,2021-12-15
912796N21,Bill,13-Week,2021-12-13
912796J42,Bill,26-Week,2021-12-13
912810TB4,Bond,29-Year 11-Month,2021-12-09
912796Q69,Bill,4-Week,2021-12-09
912796R76,Bill,8-Week,2021-12-09
91282CDJ7,Note,9-Year 11-Month,2021-12-08
912796T82,CMB,119-Day,2021-12-08
91282CDN8,Note,3-Year,2021-12-07
912796M97,Bill,13-Week,2021-12-06
912796R35,Bill,26-Week,2021-12-06
912796Q51,Bill,4-Week,2021-12-02
912796Q93,Bill,8-Week,2021-12-02
912810TC2,Bond,19-Year 11-Month,2021-12-02
912796ZX0,CMB,8-Day,2021-12-01
912796T74,CMB,119-Day,2021-12-01
912796J75,CMB,21-Day,2021-11-30
912796P94,Bill,52-Week,2021-11-30
912796L98,Bill,13-Week,2021-11-29
912796Q44,Bill,26-Week,2021-11-29
912796P60,CMB,14-Day,2021-11-24
912796P86,Bill,4-Week,2021-11-24
912796Q85,Bill,8-Week,2021-11-24
912796T25,CMB,119-Day,2021-11-24
91282CDL2,Note,7-Year,2021-11-23
912796Y94,CMB,35-Day,2021-11-23
91282CDE8,FRN Note,1-Year 11-Month,2021-11-23
91282CDM0,Note,2-Year,2021-11-22
91282CDK4,Note,5-Year,2021-11-22
912796D30,Bill,13-Week,2021-11-22
912796Q36,Bill,26-Week,2021-11-22
91282CCM1,TIPS Note,9-Year 8-Month,2021-11-18
912796P78,Bill,4-Week,2021-11-18
912796Q77,Bill,8-Week,2021-11-18
912810TC2,Bond,20-Year,2021-11-17
912796ZX0,CMB,22-Day,2021-11-17
912796S91,CMB,119-Day,2021-11-17
9127965G0,CMB,14-Day,2021-11-16
912796L80,Bill,13-Week,2021-11-15
912796H44,Bill,26-Week,2021-11-15
912796P60,Bill,4-Week,2021-11-10
912796Q69,Bill,8-Week,2021-11-10
912796S83,CMB,119-Day,2021-11-10
912810TB4,Bond,30-Year,2021-11-10
91282CDJ7,Note,10-Year,2021-11-09
91282CDH1,Note,3-Year,2021-11-08
912796L72,Bill,13-Week,2021-11-08
912796Q28,Bill,26-Week,2021-11-08
912796P52,Bill,4-Week,2021-11-04
912796Q51,Bill,8-Week,2021-11-04
912796S75,CMB,119-Day,2021-11-03
912796N96,Bill,52-Week,2021-11-02
912796K99,Bill,13-Week,2021-11-01
912796P45,Bill,26-Week,2021-11-01
912796N88,Bill,4-Week,2021-10-28
912796P86,Bill,8-Week,2021-10-28
91282CDF5,Note,7-Year,2021-10-28
912796S26,CMB,119-Day,2021-10-27
91282CDE8,FRN Note,2-Year,2021-10-27
91282CDG3,Note,5-Year,2021-10-27
91282CDD0,Note,2-Year,2021-10-26
912796ZX0,CMB,48-Day,2021-10-26
912796C31,Bill,13-Week,2021-10-25
912796P37,Bill,26-Week,2021-10-25
91282CDC2,TIPS Note,5-Year,2021-10-21
912796N70,Bill,4-Week,2021-10-21
912796P78,Bill,8-Week,2021-10-21
912810TA6,Bond,19-Year 10-Month,2021-10-20
912796R92,CMB,119-Day,2021-10-20
912796H69,CMB,27-Day,2021-10-20
912796N88,CMB,40-Day,2021-10-19
912796K81,Bill,13-Week,2021-10-18
912796G45,Bill,26-Week,2021-10-18
912796N62,Bill,4-Week,2021-10-14
912796P60,Bill,8-Week,2021-10-14
912796H77,CMB,39-Day,2021-10-14
912796R84,CMB,119-Day,2021-10-13
912810SZ2,Bond,29-Year 10-Month,2021-10-13
91282CDB4,Note,3-Year,2021-10-12
91282CCS8,Note,9-Year 10-Month,2021-10-12
912796K73,Bill,13-Week,2021-10-12
912796P29,Bill,26-Week,2021-10-12
912796N54,Bill,4-Week,2021-10-07
912796P52,Bill,8-Week,2021-10-07
912796J67,CMB,64-Day,2021-10-06
912796R76,CMB,119-Day,2021-10-06
912796ZB8,CMB,8-Day,2021-10-05
912796M89,Bill,52-Week,2021-10-05
912796K65,Bill,13-Week,2021-10-04
912796N47,Bill,26-Week,2021-10-04
912796M63,Bill,4-Week,2021-09-30
912796N88,Bill,8-Week,2021-09-30
912796Q93,CMB,119-Day,2021-09-29
91282CCY5,Note,7-Year,2021-09-28
912796A90,Bill,13-Week,2021-09-27
912796N39,Bill,26-Week,2021-09-27
91282CDA6,Note,2-Year,2021-09-27
91282CCZ2,Note,5-Year,2021-09-27
91282CCM1,TIPS Note,9-Year 10-Month,2021-09-23
912796M55,Bill,4-Week,2021-09-23
912796N70,Bill,8-Week,2021-09-23
912796Q85,CMB,119-Day,2021-09-22
91282CCQ2,FRN Note,1-Year 10-Month,2021-09-22
912810TA6,Bond,19-Year 11-Month,2021-09-21
912796J75,Bill,13-Week,2021-09-20
912796F38,Bill,26-Week,2021-09-20
912796M48,Bill,4-Week,2021-09-16
912796N62,Bill,8-Week,2021-09-16
912796Q77,CMB,119-Day,2021-09-15
912796J67,Bill,13-Week,2021-09-13
912796N21,Bill,26-Week,2021-09-13
912810SZ2,Bond,29-Year 11-Month,2021-09-09
912796M30,Bill,4-Week,2021-09-09
912796N54,Bill,8-Week,2021-09-09
91282CCS8,Note,9-Year 11-Month,2021-09-08
912796Q69,CMB,119-Day,2021-09-08
91282CCX7,Note,3-Year,2021-09-07
912796F61,CMB,21-Day,2021-09-07
912796J59,Bill,13-Week,2021-09-07
912796M97,Bill,26-Week,2021-09-07
912796M71,Bill,52-Week,2021-09-07
912796M22,Bill,4-Week,2021-09-02
912796M63,Bill,8-Week,2021-09-02
912796Q51,CMB,119-Day,2021-09-01
912796F53,CMB,21-Day,2021-08-31
9127965G0,Bill,13-Week,2021-08-30
912796L98,Bill,26-Week,2021-08-30
912796L56,Bill,4-Week,2021-08-26
912796M55,Bill,8-Week,2021-08-26
91282CCV1,Note,7-Year,2021-08-26
912796P86,CMB,119-Day,2021-08-25
91282CCW9,Note,5-Year,2021-08-25
91282CCQ2,FRN Note,1-Year 11-Month,2021-08-25
91282CCU3,Note,2-Year,2021-08-24
912796ZC6,CMB,67-Day,2021-08-24
912796H77,Bill,13-Week,2021-08-23
912796D30,Bill,26-Week,2021-08-23
912810SV1,TIPS Bond,29-Year 6-Month,2021-08-19
912796L49,Bill,4-Week,2021-08-19
912796M48,Bill,8-Week,2021-08-19
912810TA6,Bond,20-Year,2021-08-18
912796P78,CMB,119-Day,2021-08-18
912796F61,CMB,42-Day,2021-08-17
912796ZB8,CMB,57-Day,2021-08-17
912796H69,Bill,13-Week,2021-08-16
912796L80,Bill,26-Week,2021-08-16
912796L31,Bill,4-Week,2021-08-12
912796M30,Bill,8-Week,2021-08-12
912810SZ2,Bond,30-Year,2021-08-12
912796P60,CMB,119-Day,2021-08-11
91282CCS8,Note,10-Year,2021-08-11
91282CCT6,Note,3-Year,2021-08-10
912796F53,CMB,42-Day,2021-08-10
912796L64,Bill,52-Week,2021-08-10
912796H51,Bill,13-Week,2021-08-09
912796L72,Bill,26-Week,2021-08-09
912796L23,Bill,4-Week,2021-08-05
912796M22,Bill,8-Week,2021-08-05
912796P52,CMB,119-Day,2021-08-04
912796F46,CMB,42-Day,2021-08-03
9127964W6,Bill,13-Week,2021-08-02
912796K99,Bill,26-Week,2021-08-02
912796K40,Bill,4-Week,2021-07-29
912796L56,Bill,8-Week,2021-07-29
91282CCR0,Note,7-Year,2021-07-29
912796N88,CMB,119-Day,2021-07-28
91282CCQ2,FRN Note,2-Year,2021-07-28
91282CCP4,Note,5-Year,2021-07-27
9127964L0,CMB,42-Day,2021-07-27
91282CCN9,Note,2-Year,2021-07-26
912796G78,Bill,13-Week,2021-07-26
912796C31,Bill,26-Week,2021-07-26
91282CCM1,TIPS Note,10-Year,2021-07-22
912796K32,Bill,4-Week,2021-07-22
912796L49,Bill,8-Week,2021-07-22
912810SY5,Bond,19-Year 10-Month,2021-07-21
912796N70,CMB,119-Day,2021-07-21
912796D63,CMB,42-Day,2021-07-20
912796G60,Bill,13-Week,2021-07-19
912796K81,Bill,26-Week,2021-07-19
912796K24,Bill,4-Week,2021-07-15
912796L31,Bill,8-Week,2021-07-15
912796N62,CMB,119-Day,2021-07-14
912796D55,CMB,42-Day,2021-07-13
912796K57,Bill,52-Week,2021-07-13
912810SX7,Bond,29-Year 10-Month,2021-07-13
912796G52,Bill,13-Week,2021-07-12
912796K73,Bill,26-Week,2021-07-12
91282CCL3,Note,3-Year,2021-07-12
91282CCB5,Note,9-Year 10-Month,2021-07-12
912796J91,Bill,4-Week,2021-07-08
912796L23,Bill,8-Week,2021-07-08
912796N54,CMB,119-Day,2021-07-07
912796D48,CMB,42-Day,2021-07-06
9127964V8,Bill,13-Week,2021-07-06
912796K65,Bill,26-Week,2021-07-06
912796J83,Bill,4-Week,2021-07-01
912796K40,Bill,8-Week,2021-07-01
912796M63,CMB,119-Day,2021-06-30
9127964B2,CMB,42-Day,2021-06-29
912796F61,Bill,13-Week,2021-06-28
912796A90,Bill,26-Week,2021-06-28
91282CCH2,Note,7-Year,2021-06-24
912796J34,Bill,4-Week,2021-06-24
912796K32,Bill,8-Week,2021-06-24
91282CCJ8,Note,5-Year,2021-06-23
912796M55,CMB,119-Day,2021-06-23
91282CBY6,FRN Note,1-Year 10-Month,2021-06-23
91282CCK5,Note,2-Year,2021-06-22
912796C64,CMB,42-Day,2021-06-22
912796F53,Bill,13-Week,2021-06-21
912796J75,Bill,26-Week,2021-06-21
91282CCA7,TIPS Note,4-Year 10-Month,2021-06-17
912796J26,Bill,4-Week,2021-06-17
912796K24,Bill,8-Week,2021-06-17
912796M48,CMB,119-Day,2021-06-16
912810SY5,Bond,19-Year 11-Month,2021-06-15
912796C56,CMB,42-Day,2021-06-15
912796J42,Bill,52-Week,2021-06-15
912796F46,Bill,13-Week,2021-06-14
912796J67,Bill,26-Week,2021-06-14
912796H93,Bill,4-Week,2021-06-10
912796J91,Bill,8-Week,2021-06-10
912810SX7,Bond,29-Year 11-Month,2021-06-10
912796M30,CMB,119-Day,2021-06-09
91282CCB5,Note,9-Year 11-Month,2021-06-09
91282CCG4,Note,3-Year,2021-06-08
912796C49,CMB,42-Day,2021-06-08
9127964L0,Bill,13-Week,2021-06-07
912796J59,Bill,26-Week,2021-06-07
912796H85,Bill,4-Week,2021-06-03
912796J83,Bill,8-Week,2021-06-03
912796M22,CMB,119-Day,2021-06-02
9127963S6,CMB,42-Day,2021-06-01
912796D63,Bill,13-Week,2021-06-01
9127965G0,Bill,26-Week,2021-06-01
912796H36,Bill,4-Week,2021-05-27
912796J34,Bill,8-Week,2021-05-27
91282CCE9,Note,7-Year,2021-05-27
912796L56,CMB,119-Day,2021-05-26
91282CCF6,Note,5-Year,2021-05-26
91282CBY6,FRN Note,1-Year 11-Month,2021-05-26
91282CCD1,Note,2-Year,2021-05-25
912796B57,CMB,42-Day,2021-05-25
912796D55,Bill,13-Week,2021-05-24
912796H77,Bill,26-Week,2021-05-24
91282CBF7,TIPS Note,9-Year 8-Month,2021-05-20
912796H28,Bill,4-Week,2021-05-20
912796J26,Bill,8-Week,2021-05-20
912810SY5,Bond,20-Year,2021-05-19
912796L49,CMB,119-Day,2021-05-19
912796B40,CMB,42-Day,2021-05-18
912796H44,Bill,52-Week,2021-05-18
912796D48,Bill,13-Week,2021-05-17
912796H69,Bill,26-Week,2021-05-17
912796G94,Bill,4-Week,2021-05-13
912796H93,Bill,8-Week,2021-05-13
912810SX7,Bond,30-Year,2021-05-13
912796L31,CMB,119-Day,2021-05-12
91282CCB5,Note,10-Year,2021-05-12
91282CCC3,Note,3-Year,2021-05-11
912796B32,CMB,42-Day,2021-05-11
9127964B2,Bill,13-Week,2021-05-10
912796H51,Bill,26-Week,2021-05-10
912796G86,Bill,4-Week,2021-05-06
912796H85,Bill,8-Week,2021-05-06
912796L23,CMB,119-Day,2021-05-05
9127963H0,CMB,42-Day,2021-05-04
912796C64,Bill,13-Week,2021-05-03
9127964W6,Bill,26-Week,2021-05-03
912796G37,Bill,4-Week,2021-04-29
912796H36,Bill,8-Week,2021-04-29
912796K40,CMB,119-Day,2021-04-28
91282CBY6,FRN Note,2-Year,2021-04-27
91282CBZ3,Note,7-Year,2021-04-27
912796B24,CMB,42-Day,2021-04-27
91282CBX8,Note,2-Year,2021-04-26
91282CBW0,Note,5-Year,2021-04-26
912796C56,Bill,13-Week,2021-04-26
912796G78,Bill,26-Week,2021-04-26
91282CCA7,TIPS Note,5-Year,2021-04-22
912796G29,Bill,4-Week,2021-04-22
912796H28,Bill,8-Week,2021-04-22
912810SW9,Bond,19-Year 10-Month,2021-04-21
912796K32,CMB,119-Day,2021-04-21
912796A41,CMB,42-Day,2021-04-20
912796G45,Bill,52-Week,2021-04-20
912796C49,Bill,13-Week,2021-04-19
912796G60,Bill,26-Week,2021-04-19
912796F95,Bill,4-Week,2021-04-15
912796G94,Bill,8-Week,2021-04-15
912796K24,CMB,119-Day,2021-04-14
912796A33,CMB,42-Day,2021-04-13
912810SU3,Bond,29-Year 10-Month,2021-04-13
9127963S6,Bill,13-Week,2021-04-12
912796G52,Bill,26-Week,2021-04-12
91282CBV2,Note,3-Year,2021-04-12
91282CBL4,Note,9-Year 10-Month,2021-04-12
912796F87,Bill,4-Week,2021-04-08
912796G86,Bill,8-Week,2021-04-08
912796J91,CMB,119-Day,2021-04-07
9127962Y4,CMB,42-Day,2021-04-06
912796B57,Bill,13-Week,2021-04-05
9127964V8,Bill,26-Week,2021-04-05
912796F79,Bill,4-Week,2021-04-01
912796G37,Bill,8-Week,2021-04-01
912796J83,CMB,119-Day,2021-03-31
912796A25,CMB,42-Day,2021-03-30
912796B40,Bill,13-Week,2021-03-29
912796F61,Bill,26-Week,2021-03-29
91282CBS9,Note,7-Year,2021-03-25
912796F20,Bill,4-Week,2021-03-25
912796G29,Bill,8-Week,2021-03-25
91282CBT7,Note,5-Year,2021-03-24
912796J34,CMB,119-Day,2021-03-24
91282CBK6,FRN Note,1-Year 10-Month,2021-03-24
91282CBU4,Note,2-Year,2021-03-23
9127965A3,CMB,42-Day,2021-03-23
912796F38,Bill,52-Week,2021-03-23
912796B32,Bill,13-Week,2021-03-22
912796F53,Bill,26-Week,2021-03-22
91282CBF7,TIPS Note,9-Year 10-Month,2021-03-18
912796D97,Bill,4-Week,2021-03-18
912796F95,Bill,8-Week,2021-03-18
912796J26,CMB,119-Day,2021-03-17
912810SW9,Bond,19-Year 11-Month,2021-03-16
9127964Z9,CMB,42-Day,2021-03-16
9127963H0,Bill,13-Week,2021-03-15
912796F46,Bill,26-Week,2021-03-15
912796D89,Bill,4-Week,2021-03-11
912796F87,Bill,8-Week,2021-03-11
912810SU3,Bond,29-Year 11-Month,2021-03-11
912796H93,CMB,119-Day,2021-03-10
91282CBL4,Note,9-Year 11-Month,2021-03-10
91282CBR1,Note,3-Year,2021-03-09
9127962Q1,CMB,42-Day,2021-03-09
912796B24,Bill,13-Week,2021-03-08
9127964L0,Bill,26-Week,2021-03-08
912796D71,Bill,4-Week,2021-03-04
912796F79,Bill,8-Week,2021-03-04
912796H85,CMB,119-Day,2021-03-03
9127964Y2,CMB,42-Day,2021-03-02
912796A41,Bill,13-Week,2021-03-01
912796D63,Bill,26-Week,2021-03-01
912796D22,Bill,4-Week,2021-02-25
912796F20,Bill,8-Week,2021-02-25
91282CBP5,Note,7-Year,2021-02-25
912796H36,CMB,119-Day,2021-02-24
91282CBQ3,Note,5-Year,2021-02-24
91282CBK6,FRN Note,1-Year 11-Month,2021-02-24
91282CBN0,Note,2-Year,2021-02-23
9127964X4,CMB,42-Day,2021-02-23
912796D30,Bill,52-Week,2021-02-23
912796A33,Bill,13-Week,2021-02-22
912796D55,Bill,26-Week,2021-02-22
912810SV1,TIPS Bond,30-Year,2021-02-18
912796C98,Bill,4-Week,2021-02-18
912796D97,Bill,8-Week,2021-02-18
912810SW9,Bond,20-Year,2021-02-17
9127964P1,CMB,42-Day,2021-02-16
9127962Y4,Bill,13-Week,2021-02-16
9127963H0,CMB,119-Day,2021-02-16
912796D48,Bill,26-Week,2021-02-16
912796C80,Bill,4-Week,2021-02-11
912796D89,Bill,8-Week,2021-02-11
912810SU3,Bond,30-Year,2021-02-11
912796G37,CMB,105-Day,2021-02-10
912796J26,CMB,154-Day,2021-02-10
91282CBL4,Note,10-Year,2021-02-10
91282CBM2,Note,3-Year,2021-02-09
9127962F5,CMB,42-Day,2021-02-09
912796B24,CMB,119-Day,2021-02-09
912796A25,Bill,13-Week,2021-02-08
9127964B2,Bill,26-Week,2021-02-08
912796C72,Bill,4-Week,2021-02-04
912796D71,Bill,8-Week,2021-02-04
912796G29,CMB,105-Day,2021-02-03
912796H93,CMB,154-Day,2021-02-03
9127964N6,CMB,42-Day,2021-02-02
912796A41,CMB,119-Day,2021-02-02
9127965A3,Bill,13-Week,2021-02-01
912796C64,Bill,26-Week,2021-02-01
912796C23,Bill,4-Week,2021-01-28
912796D22,Bill,8-Week,2021-01-28
91282CBJ9,Note,7-Year,2021-01-28
912796F95,CMB,105-Day,2021-01-27
912796H85,CMB,154-Day,2021-01-27
91282CBK6,FRN Note,2-Year,2021-01-27
91282CBH3,Note,5-Year,2021-01-26
9127964M8,CMB,42-Day,2021-01-26
912796A33,CMB,119-Day,2021-01-26
912796C31,Bill,52-Week,2021-01-26
91282CBG5,Note,2-Year,2021-01-25
9127964Z9,Bill,13-Week,2021-01-25
912796C56,Bill,26-Week,2021-01-25
91282CBF7,TIPS Note,10-Year,2021-01-21
912796B99,Bill,4-Week,2021-01-21
912796C98,Bill,8-Week,2021-01-21
912810ST6,Bond,19-Year 10-Month,2021-01-20
912796F87,CMB,105-Day,2021-01-20
912796H36,CMB,154-Day,2021-01-20
9127964F3,CMB,42-Day,2021-01-19
9127962Q1,Bill,13-Week,2021-01-19
9127962Y4,CMB,119-Day,2021-01-19
912796C49,Bill,26-Week,2021-01-19
912796B81,Bill,4-Week,2021-01-14
912796C80,Bill,8-Week,2021-01-14
912796F79,CMB,105-Day,2021-01-13
912796H28,CMB,154-Day,2021-01-13
912810SS8,Bond,29-Year 10-Month,2021-01-13
91282CAV3,Note,9-Year 10-Month,2021-01-12
912796XE4,CMB,42-Day,2021-01-12
912796A25,CMB,119-Day,2021-01-12
91282CBE0,Note,3-Year,2021-01-11
9127964Y2,Bill,13-Week,2021-01-11
9127963S6,Bill,26-Week,2021-01-11
912796B73,Bill,4-Week,2021-01-07
912796C72,Bill,8-Week,2021-01-07
912796F20,CMB,105-Day,2021-01-06
912796G94,CMB,154-Day,2021-01-06
9127964D8,CMB,42-Day,2021-01-05
9127965A3,CMB,119-Day,2021-01-05
9127964X4,Bill,13-Week,2021-01-04
912796B57,Bill,26-Week,2021-01-04
912796B65,Bill,4-Week,2020-12-31
912796C23,Bill,8-Week,2020-12-31
912796D97,CMB,105-Day,2020-12-30
912796G86,CMB,154-Day,2020-12-30
9127964C0,CMB,42-Day,2020-12-29
9127964Z9,CMB,119-Day,2020-12-29
912796A90,Bill,52-Week,2020-12-29
91282CBB6,Note,7-Year,2020-12-29
9127964P1,Bill,13-Week,2020-12-28
912796B40,Bill,26-Week,2020-12-28
91282CBD2,Note,2-Year,2020-12-28
91282CBC4,Note,5-Year,2020-12-28
912796A82,Bill,4-Week,2020-12-24
912796B99,Bill,8-Week,2020-12-24
912796D89,CMB,105-Day,2020-12-23
912796G37,CMB,154-Day,2020-12-23
91282CAS0,FRN Note,1-Year 10-Month,2020-12-23
91282CAQ4,TIPS Note,4-Year 10-Month,2020-12-22
9127963W7,CMB,42-Day,2020-12-22
9127962Q1,CMB,119-Day,2020-12-22
912810ST6,Bond,19-Year 11-Month,2020-12-21
9127962F5,Bill,13-Week,2020-12-21
912796B32,Bill,26-Week,2020-12-21
912796A74,Bill,4-Week,2020-12-17
912796B81,Bill,8-Week,2020-12-17
9127965F2,CMB,8-Day,2020-12-17
912796D71,CMB,105-Day,2020-12-16
912796G29,CMB,154-Day,2020-12-16
912796UC1,CMB,42-Day,2020-12-15
9127964Y2,CMB,119-Day,2020-12-15
9127964N6,Bill,13-Week,2020-12-14
9127963H0,Bill,26-Week,2020-12-14
912796A66,Bill,4-Week,2020-12-10
912796B73,Bill,8-Week,2020-12-10
912810SS8,Bond,29-Year 11-Month,2020-12-10
912796D22,CMB,105-Day,2020-12-09
912796F95,CMB,154-Day,2020-12-09
91282CAV3,Note,9-Year 11-Month,2020-12-09
91282CBA8,Note,3-Year,2020-12-08
9127963V9,CMB,42-Day,2020-12-08
9127964X4,CMB,119-Day,2020-12-08
9127964M8,Bill,13-Week,2020-12-07
912796B24,Bill,26-Week,2020-12-07
912796A58,Bill,4-Week,2020-12-03
912796B65,Bill,8-Week,2020-12-03
912796C98,CMB,105-Day,2020-12-02
912796F87,CMB,154-Day,2020-12-02
9127963U1,CMB,42-Day,2020-12-01
9127964P1,CMB,119-Day,2020-12-01
9127965G0,Bill,52-Week,2020-12-01
9127964F3,Bill,13-Week,2020-11-30
912796A41,Bill,26-Week,2020-11-30
9127965F2,Bill,4-Week,2020-11-25
912796A82,Bill,8-Week,2020-11-25
912796C80,CMB,105-Day,2020-11-25
912796F79,CMB,154-Day,2020-11-25
91282CAY7,Note,7-Year,2020-11-24
9127963T4,CMB,41-Day,2020-11-24
9127962F5,CMB,118-Day,2020-11-24
91282CAS0,FRN Note,1-Year 11-Month,2020-11-24
91282CAX9,Note,2-Year,2020-11-23
91282CAZ4,Note,5-Year,2020-11-23
912796XE4,Bill,13-Week,2020-11-23
912796A33,Bill,26-Week,2020-11-23
912828ZZ6,TIPS Note,9-Year 8-Month,2020-11-19
9127965D7,Bill,4-Week,2020-11-19
912796A74,Bill,8-Week,2020-11-19
912810ST6,Bond,20-Year,2020-11-18
912796C72,CMB,105-Day,2020-11-18
912796F20,CMB,154-Day,2020-11-18
912796TY5,CMB,42-Day,2020-11-17
9127964N6,CMB,119-Day,2020-11-17
9127964D8,Bill,13-Week,2020-11-16
9127962Y4,Bill,26-Week,2020-11-16
9127965C9,Bill,4-Week,2020-11-12
